species,atcc_number,accepted_name,strain_designation,biosafety_level,has_genome,genome_url,type_strain,web_available,isolation_source,category
Chryseobacterium gleum,49730,Chryseobacterium gleum,"NCTC 11433 [CL10/79, F129, JCM 2411]",BSL 2,False,,False,True,Wound swab,Bacteria
Chryseobacterium gleum,29898,Chryseobacterium gleum,NCTC 10797 [CDC B1858],BSL 2,False,,False,True,Drinking fountain,Bacteria
Chryseobacterium gleum,29896,Chryseobacterium gleum,NCTC 10795 [CDC 3531],BSL 2,False,,False,True,Sputum,Bacteria
Chryseobacterium gleum,35910,Chryseobacterium gleum,"F93 [CL4/79, IFO 15054, JCM 2410, NCTC 11432]",BSL 2,False,,True,True,High vaginal swab,Bacteria
Sphingomonas paucimobilis,29837,Sphingomonas paucimobilis,"NCTC 11030 [CL1/70, GIFU 2395, ICPB 4235, JCM 7516]",BSL 2,True,https://genomes.atcc.org/genomes/fd3604a665404579,True,True,Hospital respirator,Bacteria
Sphingomonas paucimobilis,202027,Sphingomonas paucimobilis,SC 16113,BSL 1,False,,False,False,,Bacteria
Sphingomonas paucimobilis,10829,Sphingomonas paucimobilis,NRRL B-54,BSL 1,True,https://genomes.atcc.org/genomes/c7682c01cc0640fa,True,True,,Bacteria
Brevundimonas diminuta,17599,Brevundimonas diminuta,232 [AB265],BSL 1,False,,False,True,Throat swab,Bacteria
Brevundimonas diminuta,13184,Brevundimonas diminuta,"470-4 [CCUG 2031, LMG 9561]",BSL 1,True,https://genomes.atcc.org/genomes/1a0b7292ff37489e,False,True,Buccal cavity,Bacteria
Brevundimonas diminuta,BAA-2474,Brevundimonas diminuta,,BSL 1,False,,False,True,Kanamycin resistant derivative of ATCC 19146,Bacteria
Brevundimonas diminuta,4335,Brevundimonas diminuta,"[IFO 13181, RH 2118]",BSL 1,False,,False,True,,Bacteria
Brevundimonas diminuta,31452,Brevundimonas diminuta,G-139,BSL 1,False,,False,True,,Bacteria
Brevundimonas diminuta,19146,Brevundimonas diminuta,"FDA strain PCI 818 [CCUG 24715, DSM 1635, LMG 10743]",BSL 1,True,https://genomes.atcc.org/genomes/947c18f477ce4f15,False,True,Contaminant in culture of Bacillus cereus,Bacteria
Brevundimonas diminuta,11568,Brevundimonas diminuta,"DSM 7234 [CCEB 513, CCM 2657, CCTM 1850, CCUG 1427, CECT 317, CIP 63.27, HNCMB 173005, IAM 1513, IMET 10409, JCM 2788, LMG 2089, NCIB 9393, NCTC 8545, NRRL B-1496, R. Hugh 342, USCC 1337, VKM B-893]",BSL 1,True,https://genomes.atcc.org/genomes/1ad0dc12480c4a41,True,True,Freshwater,Bacteria
Brevundimonas diminuta,17606,Brevundimonas diminuta,239 [AB1278],BSL 1,False,,False,True,Blood,Bacteria
Brevundimonas diminuta,17605,Brevundimonas diminuta,238 [AB1268],BSL 1,False,,False,True,Pus from maxillary sinus,Bacteria
Brevundimonas diminuta,17600,Brevundimonas diminuta,233 [AB328],BSL 1,False,,False,True,,Bacteria
Brevundimonas diminuta,19146-MINI-PACK,Brevundimonas diminuta,"FDA strain PCI 818 [CCUG 24715, DSM 1635, LMG 10743]",BSL 1,True,https://genomes.atcc.org/genomes/947c18f477ce4f15,False,True,Contaminant in culture of Bacillus cereus,Bacteria
Brevundimonas diminuta,17604,Brevundimonas diminuta,237 [AB1267],BSL 1,False,,False,False,Urine,Bacteria
Brevundimonas diminuta,17601,Brevundimonas diminuta,234 [AB359],BSL 1,False,,False,False,,Bacteria
Brevundimonas diminuta,17603,Brevundimonas diminuta,236 [AB1224],BSL 1,False,,False,False,Ascitic fluid,Bacteria
Brevundimonas diminuta,17598,Brevundimonas diminuta,231 [AB236],BSL 1,False,,False,False,Spinal fluid,Bacteria
Brevundimonas vesicularis,51560,Brevundimonas vesicularis,CCUG 28337 [LMG11141; H0930],BSL 1,False,,False,True,Pleural fluid,Bacteria
Brevundimonas vesicularis,11426,Brevundimonas vesicularis,"[CCUG 2032, LMG 2350, NCTC 10900, Stanier 500]",BSL 1,True,https://genomes.atcc.org/genomes/3212a90120ee484d,True,True,"Urinary-bladder epithelium of leech, Hirudo medicinalis",Bacteria
Brevundimonas vesicularis,17597,Brevundimonas vesicularis,230 [AB102],BSL 1,False,,False,False,Whooping-cough plate,Bacteria
Comamonas testosteroni,25094,Comamonas testosteroni,N,BSL 1,True,https://genomes.atcc.org/genomes/e97e2f57edf54f41,False,True,Soil,Bacteria
Comamonas testosteroni,17409,Comamonas testosteroni,27 [KA-11],BSL 1,False,,False,True,Soil,Bacteria
Comamonas testosteroni,13474,Comamonas testosteroni,,BSL 1,False,,False,True,,Bacteria
